1_ACTR8.93973,1_ADIPOR1.51094,1_AK7.122481,1_ALAD.210,1_ALDH1A1.216,1_ANKRD29.147463,1_AP2B1.163,1_APOBEC3D.140564,1_ARHGAP39.80728,1_ARHGEF5.7984,1_BACH1.571,1_BRP44.25874,1_BTBD1.53339,1_C17orf69.147081,1_C1orf130.400746,1_C1orf131.128061,1_C4orf10.317648,1_C8orf30A.51236,1_CCDC122.160857,1_CDKN2AIPNL.91368,1_CELA3B.23436,1_CENPE.1062,1_CHRAC1.54108,1_CXCL1.2919,1_DDB1.1642,1_EIF1.10209,1_FAM123B.139285,1_GALNT12.79695,1_GGT1.2678,1_GIMAP5.55340,1_GSG1.83445,1_GTF2A2.2958,1_HDAC2.3066,1_HELB.92797,1_HSF2.3298,1_KIAA0146.23514,1_KIAA1244.57221,1_KLHL12.59349,1_KLRB1.3820,1_KLRF1.51348,1_LHX8.431707,1_LOC100129935.100129935,1_LOC100240735.100240735,1_LOC121838.121838,1_LOC348926.348926,1_LRRC69.100130742,1_MARVELD3.91862,1_MCHR2.84539,1_MEAF6.64769,1_MTPAP.55149,1_MX2.4600,1_MYCL1.4610,1_NAT14.57106,1_NUDT13.25961,1_OLIG3.167826,1_OR2A7.401427,1_PLOD2.5352,1_PPL.5493,1_PPP1R11.6992,1_PTPN20B.26095,1_RASL10B.91608,1_RGS4.5999,1_S1PR4.8698,1_SEMA3A.10371,1_SERPINB1.1992,1_SPANXN4.441525,1_SRD5A1.6715,1_TAS2R30.259293,1_TH1L.51497,1_TMEM92.162461,1_TRIT1.54802,1_USP24.23358,1_WDHD1.11169,1_ZNF703.80139
0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
