1_AK7.122481,1_AKAP4.8852,1_ALDH1A1.216,1_ALG13.79868,1_ANKRD33.341405,1_APCDD1L.164284,1_B3GNT8.374907,1_BRWD3.254065,1_C11orf36.283303,1_C22orf26.55267,1_C22orf46.79640,1_C4orf10.317648,1_C4orf38.152641,1_C6orf129.154467,1_CADPS2.93664,1_CARTPT.9607,1_CCDC122.160857,1_CCNA1.8900,1_CD5.921,1_CDCA4.55038,1_CHODL.140578,1_CHRNA10.57053,1_COL15A1.1306,1_COPS5.10987,1_CSDE1.7812,1_CXorf21.80231,1_DGAT1.8694,1_DHH.50846,1_DOCK8.81704,1_DVL2.1856,1_FAM81B.153643,1_FBXO8.26269,1_FCRL2.79368,1_FLJ36000.284124,1_GALNT12.79695,1_KIAA0146.23514,1_KIAA1429.25962,1_LANCL3.347404,1_LOC285548.285548,1_LOC727924.727924,1_MEAF6.64769,1_MTHFR.4524,1_MXRA7.439921,1_NLRP10.338322,1_NOL11.25926,1_OR2A9P.441295,1_PPP1R11.6992,1_PRPF4B.8899,1_PSMD10.5716,1_PTPN20B.26095,1_RAB7L1.8934,1_RBM12.10137,1_RIOK1.83732,1_RPA1.6117,1_SCARNA17.677769,1_SLC12A3.6559,1_SNRPD1.6632,1_TET1.80312,1_THOC2.57187,1_TLX1.3195,1_TRIM22.10346,1_TSPYL2.64061,1_WDR3.10885,1_YEATS2.55689
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
