gen,evals,gen_feats,explored,expression_subtype naive Bayes balanced accuracy_min,expression_subtype naive Bayes balanced accuracy_avg,expression_subtype naive Bayes balanced accuracy_max,expression_subtype naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,586,586,0.14285714285714285,0.5048496985990426,0.7750399648542777,0.13807282101962837,0.0196078431372549,0.08688892793568738,1.0,0.15470263246850563
1,509,833,845,0.14285714285714285,0.5534479379714891,0.7766675803338856,0.14112105648769183,0.019230769230769232,0.09671911778325509,1.0,0.11703276478419634
2,500,917,1079,0.14285714285714285,0.5851597648536819,0.7766675803338856,0.13733548626044906,0.017857142857142856,0.09981737267657576,1.0,0.11463647251833697
3,500,916,1319,0.14285714285714285,0.6117186278156651,0.8248045277213075,0.13683360673459638,0.016129032258064516,0.0992490242745323,1.0,0.11212131385199817
4,500,934,1534,0.14285714285714285,0.6271149578838979,0.8248045277213075,0.13895198407290066,0.015625,0.09976685951176514,1.0,0.11185937499054179
5,500,988,1765,0.14285714285714285,0.6481067085996742,0.8248045277213075,0.136429573656447,0.015625,0.09579568280954705,1.0,0.1101661791226032
6,500,972,1990,0.14285714285714285,0.6578147060634917,0.8291895538574856,0.13553108239206513,0.015384615384615385,0.09625034396786827,1.0,0.10998393716793611
7,500,976,2205,0.14285714285714285,0.6681856357551667,0.832640602372237,0.13545917382298192,0.015625,0.09626879984261526,1.0,0.11003178166297131
8,500,998,2417,0.14285714285714285,0.6827171775009726,0.832640602372237,0.1327745665198223,0.015625,0.09242833720067571,1.0,0.10808947462649257
9,500,1016,2628,0.14285714285714285,0.6921464633399792,0.8349447498376747,0.13381835322257332,0.015625,0.09158064603493382,1.0,0.10836372697515555
10,500,1025,2832,0.14285714285714285,0.696285150168346,0.8392034040475352,0.1335827858667037,0.015625,0.09283963915816057,1.0,0.10789361091660922
11,500,1054,3068,0.14285714285714285,0.7056449968245062,0.8494727539861723,0.13452475977764206,0.016129032258064516,0.0917179882956372,1.0,0.10836585675064898
12,500,1038,3278,0.14285714285714285,0.7069483562430161,0.8569467394447065,0.1357266768929638,0.017857142857142856,0.09541170021090782,1.0,0.11028274985110535
13,500,984,3474,0.14285714285714285,0.7179765824771895,0.8569467394447065,0.13223928489870246,0.01818181818181818,0.09269496389868431,1.0,0.10798364411811026
14,500,1009,3699,0.14285714285714285,0.7253833332382505,0.8857895545615795,0.1321810158006548,0.017241379310344827,0.0923890737408891,1.0,0.10812677741758624
15,500,967,3872,0.14285714285714285,0.7312421508180684,0.8857895545615795,0.13285007757701875,0.017241379310344827,0.0920240379744904,1.0,0.10831793321527851
16,500,1009,4080,0.14285714285714285,0.7410868577120299,0.8857895545615795,0.12977298042621166,0.014925373134328358,0.08854316435299009,1.0,0.10614289891060658
17,500,989,4260,0.14285714285714285,0.746599201193674,0.8857895545615795,0.12995670813877905,0.014925373134328358,0.08800263403253288,1.0,0.10635475038093695
18,500,1018,4463,0.14285714285714285,0.7508021013407242,0.8857895545615795,0.1301412530088655,0.015625,0.08783048307186658,1.0,0.10647949249250382
19,500,1011,4630,0.14285714285714285,0.754128851243633,0.8857895545615795,0.12939572981267275,0.015625,0.08811846633740984,1.0,0.10634776161836106
20,500,1019,4833,0.14285714285714285,0.7573172923720959,0.889499317284625,0.13031797360638664,0.015384615384615385,0.08795280996170977,1.0,0.1064601359205124
21,500,995,5010,0.14285714285714285,0.7608012253494525,0.889499317284625,0.13066586088678211,0.015151515151515152,0.08782048646498325,1.0,0.10654830586996852
22,500,1028,5192,0.14285714285714285,0.7631386186109905,0.889499317284625,0.13026996165944024,0.014492753623188406,0.0879487105059407,1.0,0.10650851995762496
23,500,1006,5377,0.14285714285714285,0.7659381601191496,0.889499317284625,0.13025795282317232,0.014492753623188406,0.08794914468994389,1.0,0.10653626891859079
24,500,980,5535,0.14285714285714285,0.7698547709779452,0.889499317284625,0.1307330051466847,0.014285714285714285,0.08733954951272495,1.0,0.10682476879583878
25,500,1004,5723,0.14285714285714285,0.772475146798023,0.8937743705648286,0.13159140166221722,0.013333333333333334,0.08696911033557603,1.0,0.1070004625858917
26,500,991,5907,0.14285714285714285,0.7781880414037937,0.8957877309883274,0.13175535068883634,0.013333333333333334,0.08508180938068718,1.0,0.10744494151369348
27,500,987,6053,0.14285714285714285,0.7825984327972862,0.8957877309883274,0.12847598545509265,0.013333333333333334,0.08302001576720139,1.0,0.10482700540824177
28,500,1021,6255,0.14285714285714285,0.784702217440702,0.8957877309883274,0.1287984985883597,0.013333333333333334,0.08273608147597489,1.0,0.104972446763232
29,500,1007,6414,0.14285714285714285,0.788286241764019,0.8957877309883274,0.12926715693477098,0.013333333333333334,0.08166174461319092,1.0,0.1053042905804778
30,500,995,6582,0.14285714285714285,0.7915945322398453,0.8957877309883274,0.12914425876813743,0.013333333333333334,0.08063787294117337,1.0,0.10537011594439642
31,500,1026,6749,0.14285714285714285,0.7888717913501216,0.897040637444541,0.12879322599211457,0.013888888888888888,0.0829430874726555,1.0,0.10489023271661002
32,500,1016,6895,0.14285714285714285,0.7919348376508285,0.897040637444541,0.12901205328594872,0.013888888888888888,0.08216782495347903,1.0,0.10516930667724415
