gen,0_ABCA4,0_ABCB6,0_ABCC3,0_ABCF1,0_ABHD13,0_ABHD3,0_ABTB2,0_ACLY,0_ACOX1,0_ACSL6,0_ACSM2A,0_ACTR3B,0_ADAM33,0_ADAM8,0_ADI1,0_ADRB1,0_ADSL,0_AGA,0_AHCYL1,0_AHNAK2,0_AHR,0_AIFM1,0_AK2,0_AKAP7,0_AKR1C3,0_AKR1E2,0_AKT1,0_ALAS1,0_ALDH1A1,0_ALDH5A1,0_ALG10,0_ALG1L2,0_ALG9,0_ALK,0_ALKBH3,0_ALKBH5,0_ANAPC11,0_ANAPC4,0_ANGPTL4,0_ANKRD12,0_ANKRD31,0_ANO10,0_ANXA13,0_ANXA3,0_ANXA4,0_ANXA9,0_AP1G1,0_AP2A1,0_AP3B1,0_APLP2,0_APOBEC3A,0_APPL2,0_ARHGAP18,0_ARL13B,0_ARMC5,0_ARMCX1,0_ARMCX2,0_ARNT2,0_ARRDC4,0_ARSA,0_ARSD,0_ASH2L,0_ASMTL,0_ASRGL1,0_ATF3,0_ATG4B,0_ATP11A,0_ATP1A1,0_ATP2B1,0_ATP2B3,0_ATP6V1A,0_ATP6V1C2,0_ATP6V1D,0_ATRN,0_ATRX,0_AWAT2,0_AXIN2,0_B3GAT3,0_B3GNTL1,0_B4GALNT3,0_B4GALT6,0_BAALC,0_BAG1,0_BAHCC1,0_BAP1,0_BARX2,0_BATF2,0_BCKDK,0_BCL2L14,0_BCO2,0_BDH1,0_BDKRB1,0_BEX1,0_BEX2,0_BIRC2,0_BNIP3L,0_BRD3,0_BRF2,0_BRPF1,0_BSDC1,0_BST2,0_BTG3,0_BUD13,0_BVES,0_C17orf75,0_C1orf174,0_C3orf18,0_C4BPA,0_C4orf3,0_C5orf22,0_C5orf34,0_C6orf118,0_C7orf50,0_C8B,0_C8orf33,0_C9orf116,0_CA9,0_CAB39,0_CACNA1C,0_CAD,0_CALM2,0_CAMKK2,0_CANT1,0_CAPG,0_CAPN2,0_CAPRIN1,0_CARD8,0_CARHSP1,0_CASP10,0_CASP4,0_CBFA2T3,0_CBWD6,0_CCDC115,0_CCDC50,0_CCDC58,0_CCDC59,0_CCNG1,0_CCRL2,0_CCT3,0_CD276,0_CDAN1,0_CDC34,0_CDC37L1,0_CDC42BPA,0_CDC42EP2,0_CDCA7L,0_CDH1,0_CDH23,0_CDK1,0_CDK18,0_CDK19,0_CDKN1C,0_CDT1,0_CECR2,0_CELF1,0_CENPA,0_CEP55,0_CES3,0_CFC1B,0_CHCHD10,0_CHCHD6,0_CHD1,0_CHD4,0_CHDH,0_CHFR,0_CHP2,0_CHRM3,0_CHST15,0_CIB2,0_CLCC1,0_CLDN2,0_CLDN4,0_CLEC4C,0_CLIC1,0_CLIC4,0_CLN5,0_CLPB,0_CLTCL1,0_CNTN2,0_CNTN5,0_CNTNAP1,0_COL18A1,0_COMMD3,0_COPA,0_COX19,0_CP,0_CPD,0_CPE,0_CPNE1,0_CPNE5,0_CRIM1,0_CRLF1,0_CRP,0_CRTC2,0_CRY1,0_CSPG4,0_CSRNP3,0_CSTF1,0_CTAGE6,0_CTBP1,0_CTNNA2,0_CTNNBL1,0_CTR9,0_CTSC,0_CTSO,0_CUL7,0_CYB5R1,0_CYP27A1,0_DAB2,0_DARS2,0_DAXX,0_DCDC2,0_DCLK3,0_DCP2,0_DDB2,0_DDX11,0_DDX23,0_DDX43,0_DDX58,0_DDX60,0_DEPDC1B,0_DEXI,0_DHCR7,0_DHRS3,0_DHX36,0_DIAPH1,0_DIRAS3,0_DLG1,0_DLST,0_DMAP1,0_DMP1,0_DNAJC10,0_DNAJC21,0_DNMT3L,0_DOK4,0_DPEP2,0_DPP3,0_DPP4,0_DPPA4,0_DPY19L4,0_DPYSL2,0_DPYSL4,0_DRD2,0_DUSP16,0_DUT,0_DYNLT3,0_DZIP1L,0_E4F1,0_EBAG9,0_ECHDC2,0_EDN1,0_EEF1G,0_EFCAB2,0_EFNB2,0_EGR1,0_EHMT1,0_EIF2AK3,0_EIF4ENIF1,0_EIF4H,0_EIF5A2,0_ELAC2,0_ELF2,0_ELMOD2,0_EML2,0_EMX1,0_ENHO,0_ENO1,0_ENPP3,0_ENPP5,0_ENTPD4,0_EPHB2,0_EPS15,0_EPS8,0_ERAP2,0_ERC1,0_ERCC3,0_ERGIC1,0_ERP44,0_ETNK2,0_ETV4,0_EXOC7,0_EYA4,0_F11R,0_FAF1,0_FAM111A,0_FAM114A2,0_FAM120A,0_FAM13C,0_FAM171B,0_FAM32A,0_FAM53B,0_FAM89B,0_FANCE,0_FBXL14,0_FBXO6,0_FCF1,0_FETUB,0_FGF9,0_FLOT2,0_FLVCR1,0_FN3KRP,0_FOXK1,0_FPR2,0_FUT11,0_FZD1,0_FZD8,0_G3BP1,0_G6PD,0_GABARAPL1,0_GABPA,0_GABRG3,0_GALNT7,0_GAS2L1,0_GBA2,0_GBP4,0_GBP5,0_GCAT,0_GDAP2,0_GGA1,0_GGA3,0_GGT6,0_GJA4,0_GK5,0_GLB1,0_GLRX5,0_GLUD1,0_GLYCTK,0_GMPR,0_GNB1L,0_GOT2,0_GPATCH1,0_GPC6,0_GPR107,0_GPRASP1,0_GPRIN1,0_GPRIN2,0_GPT,0_GRAMD1C,0_GRK6,0_GRPEL2,0_GSTA4,0_GSTZ1,0_GTF3C1,0_GTPBP2,0_GUK1,0_HAUS1,0_HAUS3,0_HAUS5,0_HAX1,0_HCFC1,0_HDAC5,0_HDAC6,0_HECTD3,0_HERC2,0_HESX1,0_HEXIM1,0_HIF1AN,0_HLA-B,0_HMGCR,0_HNF1B,0_HNRNPAB,0_HNRNPC,0_HNRNPU,0_HOXA6,0_HPCA,0_HPCAL1,0_HPS3,0_HSD17B14,0_HSDL2,0_HSPA1A,0_HSPA1B,0_HSPA6,0_HSPA9,0_HSPB8,0_HTATSF1,0_HTR3B,0_HTRA3,0_HTRA4,0_HUNK,0_HUWE1,0_ICA1,0_ICAM1,0_ID1,0_IDH3A,0_IFIT1,0_IFIT3,0_IFNB1,0_IFNG,0_IGF2BP2,0_IKBIP,0_IL10,0_IL15,0_IL23A,0_ING2,0_INO80C,0_IRF1,0_IRS2,0_ISCU,0_ITIH5,0_JAG2,0_KATNAL2,0_KCNA4,0_KCNE3,0_KCNJ2,0_KCNQ5,0_KHDRBS2,0_KIF13B,0_KIF16B,0_KIF18A,0_KIF4B,0_KIF9,0_KISS1R,0_KLHDC8B,0_KLK5,0_KPNA1,0_KPTN,0_KRT7,0_L3MBTL3,0_LAMB1,0_LAMP1,0_LAP3,0_LARP1,0_LARP4,0_LARS2,0_LAYN,0_LBP,0_LBR,0_LDB2,0_LDHB,0_LDLRAD2,0_LETM1,0_LGALS8,0_LGI4,0_LGR6,0_LHX6,0_LIG3,0_LIMK2,0_LIMS3,0_LINS1,0_LIPH,0_LIPT2,0_LMNB2,0_LMO7,0_LPCAT1,0_LRPPRC,0_LRRC24,0_LRRC61,0_LRRFIP1,0_LRRN1,0_LSM6,0_MAF,0_MAGEE1,0_MANSC1,0_MAP3K7,0_MAP7D3,0_MAPK6,0_MAPT,0_MAZ,0_MBD4,0_MBIP,0_MCM6,0_MCPH1,0_MECOM,0_MEPCE,0_MFN1,0_MGAM,0_MGLL,0_MGRN1,0_MICAL3,0_MIPEP,0_MLLT1,0_MME,0_MMP14,0_MN1,0_MOCS2,0_MPHOSPH10,0_MPI,0_MPV17L,0_MRPL19,0_MRPL33,0_MRPL4,0_MRPL42,0_MRPS25,0_MSH2,0_MSI2,0_MTA1,0_MTOR,0_MTX2,0_MXI1,0_MYL5,0_MYNN,0_MYO10,0_MYO18A,0_MYO3A,0_MYO3B,0_MYO5B,0_MYOCD,0_MYOM2,0_N4BP1,0_N4BP2L2,0_NAA15,0_NAA50,0_NAAA,0_NAB2,0_NAGA,0_NANOS2,0_NARS2,0_NAV2,0_NBAS,0_NBR1,0_NCEH1,0_NCL,0_NCOA7,0_NDRG1,0_NDRG3,0_NDST2,0_NDUFA12,0_NDUFA3,0_NDUFA4L2,0_NDUFAF2,0_NDUFB10,0_NECAB3,0_NEDD4L,0_NELL1,0_NEU1,0_NFIX,0_NGB,0_NGLY1,0_NHEJ1,0_NID2,0_NIPAL3,0_NKX2-2,0_NLGN1,0_NLK,0_NME2,0_NME5,0_NME7,0_NNT,0_NOL3,0_NOMO1,0_NOMO2,0_NONO,0_NOP56,0_NOS1AP,0_NOTCH1,0_NOTCH3,0_NPM3,0_NPR3,0_NPTN,0_NQO2,0_NR3C2,0_NRP1,0_NRSN2,0_NSL1,0_NSMCE2,0_NT5E,0_NTN1,0_NUDCD3,0_NUDT11,0_NUDT15,0_NUMB,0_NUP85,0_NUP88,0_OBSL1,0_OCIAD2,0_ODC1,0_OGDHL,0_OLFML1,0_OTP,0_OXA1L,0_OXNAD1,0_P2RX6,0_P4HB,0_P4HTM,0_PADI1,0_PAF1,0_PAQR7,0_PARP6,0_PATZ1,0_PBLD,0_PCBD1,0_PCBP3,0_PCDH10,0_PCDH11X,0_PCDHB5,0_PCDHB7,0_PCDHGA11,0_PCDHGA3,0_PCDHGA6,0_PCDHGA9,0_PCDHGB3,0_PCDHGB5,0_PCDHGB6,0_PCDHGC3,0_PCDHGC4,0_PCGF3,0_PCIF1,0_PCK1,0_PCMTD2,0_PCNT,0_PCYT1A,0_PDCD1,0_PDCD2,0_PDCL2,0_PDE1A,0_PDIA5,0_PDK4,0_PDLIM1,0_PEA15,0_PELI2,0_PELO,0_PEX11B,0_PFAS,0_PFDN6,0_PFKM,0_PFN2,0_PGAM2,0_PGAM4,0_PGAP3,0_PGK2,0_PGRMC1,0_PGRMC2,0_PGS1,0_PHC2,0_PHKA2,0_PHYH,0_PI16,0_PINX1,0_PIR,0_PIWIL4,0_PKP4,0_PLCD1,0_PLCG2,0_PLD2,0_PLD6,0_PLEC,0_PLEK2,0_PLEKHA1,0_PLEKHA6,0_PLEKHJ1,0_PLIN2,0_PLOD3,0_PLP2,0_PLS3,0_PLXDC1,0_PLXDC2,0_PLXNA2,0_PM20D2,0_PNCK,0_PNN,0_PNPLA4,0_POC5,0_POF1B,0_POLA1,0_POLA2,0_POLG2,0_POLR3E,0_POR,0_POU2F1,0_POU5F1,0_PPFIBP2,0_PPM1B,0_PPP1R7,0_PPP2R2A,0_PPP2R2B,0_PPP2R3C,0_PRCP,0_PRDM11,0_PRKCH,0_PROS1,0_PRR16,0_PRTFDC1,0_PSMB7,0_PSMB8,0_PSMB9,0_PSMC2,0_PSMD12,0_PSMF1,0_PTEN,0_PTGR1,0_PTPN21,0_PTPN23,0_PTPN3,0_PTTG2,0_PUM1,0_PXDN,0_PXK,0_PYGL,0_PZP,0_QPRT,0_RAB11A,0_RAB11FIP1,0_RAB11FIP4,0_RAB22A,0_RAB43,0_RAB6A,0_RAB9A,0_RABEP1,0_RAD1,0_RAD51,0_RADIL,0_RALBP1,0_RALGAPB,0_RANBP1,0_RANGAP1,0_RAPGEF3,0_RARB,0_RARG,0_RASEF,0_RASSF1,0_RBM15,0_RBM22,0_RBM38,0_RBM4,0_RBP7,0_RCCD1,0_RECQL,0_REEP6,0_REN,0_RFC1,0_RFT1,0_RGPD4,0_RHPN1,0_RIC3,0_RIT1,0_RNASEL,0_RNF115,0_RNF13,0_RNF180,0_RNF31,0_RNF7,0_RNPEP,0_RPA3,0_RPA4,0_RPGR,0_RPL10,0_RPL21,0_RPL31,0_RPL7,0_RPL8,0_RPL9,0_RPS17,0_RPS18,0_RPS3A,0_RPTOR,0_RPUSD4,0_RRAGA,0_RREB1,0_RRN3,0_RRP15,0_RRP1B,0_RUVBL1,0_S100A1,0_S1PR1,0_S1PR2,0_SACM1L,0_SAFB,0_SALL1,0_SAP30,0_SAR1A,0_SARS2,0_SAT1,0_SCAMP4,0_SCAP,0_SCARB1,0_SCARB2,0_SCIN,0_SCLT1,0_SCN7A,0_SCO1,0_SDC1,0_SDHD,0_SEC31A,0_SEC62,0_SEMA4B,0_SENP7,0_SERPINA4,0_SERPINA7,0_SEZ6L2,0_SF1,0_SF3B1,0_SGPL1,0_SH3RF1,0_SH3RF3,0_SHARPIN,0_SHMT1,0_SHROOM2,0_SIRPA,0_SLC15A4,0_SLC16A10,0_SLC16A3,0_SLC16A4,0_SLC17A4,0_SLC1A4,0_SLC22A23,0_SLC22A3,0_SLC25A11,0_SLC25A38,0_SLC25A4,0_SLC26A11,0_SLC26A2,0_SLC27A4,0_SLC29A2,0_SLC2A2,0_SLC30A9,0_SLC38A10,0_SLC39A8,0_SLC43A1,0_SLC43A2,0_SLC46A3,0_SLC9A2,0_SLC9A7,0_SMAGP,0_SMARCA2,0_SMARCB1,0_SNAP29,0_SNAPIN,0_SNRNP200,0_SNRPA1,0_SNX10,0_SNX21,0_SOCS1,0_SOD2,0_SOX4,0_SOX9,0_SP100,0_SPATA18,0_SPATA5,0_SPG11,0_SPHKAP,0_SPOCK2,0_SPRY1,0_SPRY4,0_SPTBN2,0_SQSTM1,0_SRD5A1,0_SREBF2,0_SRI,0_ST6GALNAC6,0_ST8SIA2,0_ST8SIA5,0_STBD1,0_STC1,0_STC2,0_STIM2,0_STK35,0_STK38,0_STOM,0_STRBP,0_STRN4,0_STX12,0_SUMO4,0_SUPT3H,0_SUPV3L1,0_SURF2,0_SVIP,0_SYNC,0_SYNE1,0_SYNJ2BP,0_TAB1,0_TADA1,0_TAF5,0_TAF8,0_TATDN2,0_TBC1D1,0_TBC1D9B,0_TCEA3,0_TCF4,0_TEC,0_TERF2,0_TESC,0_TF,0_TGFA,0_TGFB1,0_TGOLN2,0_THOC3,0_TIGD1,0_TIMM17B,0_TLR3,0_TM4SF18,0_TMC5,0_TMCO1,0_TMEM104,0_TMEM107,0_TMEM115,0_TMEM116,0_TMEM132E,0_TMEM184B,0_TMEM45B,0_TMEM47,0_TMEM50B,0_TMEM62,0_TMEM70,0_TMEM72,0_TMEM8B,0_TMPRSS2,0_TNFRSF14,0_TNFSF13B,0_TNPO1,0_TOE1,0_TOMM20,0_TOMM5,0_TOR1AIP1,0_TPK1,0_TRA2B,0_TRAF3IP1,0_TRAF3IP2,0_TRAPPC1,0_TRAPPC2L,0_TRAPPC4,0_TRH,0_TRIB2,0_TRIM21,0_TRIM32,0_TRIM35,0_TRIM7,0_TRMT2A,0_TRMT5,0_TSEN34,0_TSHZ1,0_TSKU,0_TSNARE1,0_TSPAN6,0_TTC30A,0_TTC32,0_TTF1,0_TTLL11,0_TUBA1A,0_TUBA8,0_TUBB,0_TUBG2,0_TUFT1,0_TUSC1,0_TWF1,0_UBA3,0_UBAP2L,0_UBE2C,0_UBE2D2,0_UBE2E2,0_UBE2G2,0_UBE2L3,0_UBE2N,0_UBTF,0_UBXN2A,0_UCHL3,0_UPK1B,0_UQCRFS1,0_UROC1,0_USP15,0_USP32,0_VAMP7,0_VIL1,0_VIM,0_VPS53,0_VRK3,0_WARS2,0_WDR1,0_WDR11,0_WDR26,0_WDR31,0_WDR54,0_WNK2,0_WNK4,0_WRAP53,0_XK,0_XPC,0_XRCC4,0_XRCC5,0_XRCC6,0_YAF2,0_YTHDF2,0_YWHAE,0_ZC3HC1,0_ZCCHC17,0_ZDHHC6,0_ZFAND2A,0_ZFPL1,0_ZFPM2,0_ZMAT2,0_ZMIZ1,0_ZMYM3,0_ZNF154,0_ZNF280D,0_ZNF317,0_ZNF436,0_ZNF44,0_ZNF518B,0_ZNF677,0_ZNF69,0_ZNF7,0_ZNF703,0_ZNF763,0_ZNF768,0_ZNF800,0_ZSCAN12,0_ZSCAN2,0_ZXDB
0,95,0,0,0,0,0,7,0,38,94,20,0,51,3,68,0,35,44,0,63,59,0,13,17,81,47,4,0,0,0,0,41,14,28,28,0,0,29,8,0,0,0,76,19,15,57,0,0,0,0,89,48,0,0,0,52,9,0,53,0,7,0,9,0,1,0,49,0,7,0,0,0,0,0,0,4,93,0,4,0,0,0,0,15,0,10,0,0,0,0,18,0,20,0,0,0,0,0,0,7,10,24,0,34,0,0,0,54,0,22,0,32,0,2,0,0,11,7,0,0,0,0,0,4,0,0,0,0,0,2,0,28,43,0,0,0,0,17,0,13,0,0,0,12,0,0,0,66,0,0,0,14,69,108,0,0,0,61,11,0,80,0,0,25,0,118,44,16,12,0,21,43,42,0,0,0,7,6,125,79,18,0,2,18,0,0,0,0,0,101,0,0,56,17,0,0,0,18,1,0,52,0,0,0,6,0,0,21,0,0,0,0,52,0,30,40,0,47,0,0,0,0,17,22,0,0,11,0,0,2,0,0,0,19,0,0,26,10,41,16,0,44,17,0,0,0,63,0,17,0,0,0,44,124,0,106,0,21,62,0,0,0,0,12,1,100,4,0,0,0,0,23,0,3,0,0,0,0,3,53,0,0,10,11,0,48,0,0,20,0,4,0,1,0,0,1,32,0,0,0,0,0,3,0,0,0,0,30,16,0,2,0,37,0,0,18,0,1,0,0,0,0,0,0,10,27,0,0,70,0,46,32,0,101,0,0,0,0,42,31,92,0,25,0,0,0,0,11,59,0,38,34,0,12,25,6,0,17,13,0,0,0,0,0,14,30,0,0,34,6,36,41,0,14,112,0,0,0,4,0,47,0,13,0,7,0,41,65,8,0,0,34,4,41,0,0,0,0,44,0,0,20,2,5,57,89,1,18,0,0,0,3,7,17,0,0,0,0,0,0,12,0,1,0,9,42,6,0,0,0,0,0,0,41,0,0,0,43,0,35,16,0,0,1,0,0,0,33,0,26,22,0,0,0,0,0,0,0,0,12,0,35,0,0,0,33,19,0,54,0,43,17,0,0,0,0,89,0,0,46,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,71,0,0,8,0,19,36,0,0,0,1,0,18,0,0,0,27,0,32,10,0,1,0,0,113,0,31,0,0,60,0,11,39,17,18,116,0,0,0,8,0,0,0,1,60,0,0,12,0,0,0,0,62,0,0,52,0,1,0,0,2,0,0,0,0,26,2,0,41,0,0,103,4,0,36,0,83,42,0,67,0,0,0,0,67,0,49,10,7,12,12,69,9,49,6,56,0,25,0,0,25,28,0,0,0,0,7,15,0,34,0,2,0,0,0,0,0,0,0,22,0,47,23,0,35,0,94,0,0,18,0,115,23,0,0,0,0,0,0,19,30,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,29,60,0,6,0,0,0,13,0,20,0,0,0,0,0,57,28,72,9,0,0,47,32,0,0,0,0,0,0,6,0,0,21,0,0,0,58,0,28,0,25,75,0,7,0,24,0,0,23,22,36,0,0,0,0,18,85,6,0,0,6,18,0,0,0,0,38,27,1,2,0,15,0,0,84,0,0,0,5,0,0,0,0,8,0,0,0,17,0,9,53,0,0,0,24,0,0,51,0,26,0,0,0,25,0,0,0,0,0,0,95,0,4,0,63,0,0,0,0,0,0,48,0,0,0,7,24,0,0,5,0,24,39,0,0,0,0,4,36,0,0,2,0,74,10,0,54,0,0,0,0,24,0,12,27,0,16,39,7,25,0,0,24,0,26,0,0,30,28,0,21,0,76,21,0,0,21,1,0,2,0,0,0,36,0,82,0,0,33,52,0,0,0,0,0,15,0,0,0,0,70,1,0,19,0,0,38,0,0,3,0,0,0,34,24,0,0,19,4,14,0,0,0,0,32,5,0,19,3,0,7,0,0,0,5,19,26,13,0,0,0,0,0,34,0,0,0,12,76,0,0,0,125,0,0,0,0,1,47,0,22,20,46,58,0,3,8,0,13,25,0,53,22,0,0,0,0,5,37,0,11,4,0,50,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,1,117,0,0,2,2,52,0,50,42,34,0,0,50,0,0,2,0,0,0,0,0,0,12,12,0,30,4,0,0,0,0,0,21,2,0
100,0,1,0,0,1,2,0,1,0,0,0,3,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,22,1,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,0,1,0,2,2,0,0,1,0,0,4,0,1,0,27,0,1,1,0,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,1,5,3,6,0,0,0,0,1,1,0,1,1,0,2,0,1,0,0,2,0,1,43,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,61,0,0,0,0,0,1,0,1,0,0,0,0,0,27,0,0,0,0,3,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,3,10,0,1,0,2,5,0,1,0,1,5,0,1,0,0,1,0,0,0,0,0,2,0,0,0,9,1,1,1,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,3,5,9,0,6,0,0,0,0,0,0,0,1,1,2,1,0,21,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,2,0,0,1,19,0,0,0,0,6,0,0,0,127,2,0,3,0,139,0,4,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,23,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,1,0,1,1,0,4,0,0,1,0,0,0,3,3,1,1,0,0,3,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,160,0,1,0,0,0,0,0,0,0,1,0,0,19,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,2,0,0,21,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,3,3,0,2,0,1,1,0,2,1,3,5,0,0,0,0,1,0,1,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,9,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,2,1,0,0,2,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,50,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,41,36,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,2,0,0,2,4,0,3,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,11,1,0,1,197,0,4,2,0,0,3,0,5,0,0,0,1,1,0,3,0,0,1,1,0,1,0,0,33,0,1,0,0,0,0,12,0,3,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,1,0,0,4,5,1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,48,2,0,0,0,2,1,2,1,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0
200,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,4,0,0,0,6,0,0,3,0,1,0,0,0,0,0,0,28,0,1,1,1,0,2,0,1,1,2,0,0,0,0,0,0,1,1,0,1,0,1,0,4,0,1,1,2,0,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,1,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,2,1,0,0,0,1,1,1,0,0,1,7,0,0,0,3,0,2,1,3,0,0,0,2,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,1,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,21,1,2,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,1,3,1,2,0,0,2,0,1,0,0,6,0,1,0,1,11,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,9,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,8,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,14,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,5,0,0,0,111,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,9,0,1,0,0,0,15,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,13,1,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,1,0,0,3,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,5,0,0,2,0,0,1,0,0,4,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,2,1,1,1,5,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,6,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,0,2,1,2,18,36,0,0,0,0,0,1,17,0,0,0,0,0,3,0,0,0,1,0,2,0,1,4,3,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1,1,0,1,271,1,9,0,0,0,3,0,4,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,4,0,1,0,0,0,0,1,6,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,15,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,7,0,0,0,0,0,0,0,22,2,0,1,0,0,0,1,1,0,0,0,1,8,0,1,0,0,1,1,0,0,0,1,0,0,0,42,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
