0_CA9,0_CLDN8,0_DACT2,0_DYNC2LI1,0_GGTLC1,0_LDB2,0_NDUFA4L2,0_NELL1,0_NTN1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,0
0,1,1,1,1,0,1,1,0
0,1,1,1,0,0,1,1,0
0,1,1,1,0,0,1,0,0
0,1,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
