0_ACMSD,0_CA9,0_CLDN8,0_DACT2,0_FAIM,0_NAPSA,0_NDUFA4L2,0_TEK,0_TPK1,0_UPK1B
1,1,1,1,1,1,1,1,0,0
1,1,0,1,1,1,1,1,0,0
1,1,0,1,1,0,1,1,0,0
1,1,0,0,0,0,1,1,0,1
1,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
