0_CA9,0_CLDN8,0_EFHC1,0_ENPP3,0_FAIM,0_FGF9,0_NDUFA4L2,0_NELL1,0_UPK1B
1,1,0,1,1,0,1,1,1
1,1,0,1,1,0,1,0,1
1,1,1,0,0,0,1,0,1
1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
