0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.215.5p,1_hsa.miR.223.3p,1_hsa.miR.296.5p,1_hsa.miR.34c.3p,1_hsa.miR.590.3p,2_ADAMTSL5.339366,2_AP1AR.55435,2_ARPC5.10092,2_BARX1.56033,2_BBOX1.8424,2_C13orf15.28984,2_C19orf22.91300,2_CABLES2.81928,2_CBX8.57332,2_CD3EAP.10849,2_CDHR4.389118,2_CDKN2C.1031,2_CHDH.55349,2_CNN3.1266,2_CNTNAP5.129684,2_CSRNP2.81566,2_CYP3A7.1551,2_DDX54.79039,2_DENND4C.55667,2_DHRS12.79758,2_DMRTA1.63951,2_EMCN.51705,2_ERGIC2.51290,2_F2RL1.2150,2_FAM164C.79696,2_FAM72D.728833,2_FOXM1.2305,2_GNASAS.149775,2_HOXA13.3209,2_HOXA2.3199,2_HOXA3.3200,2_IGF2BP3.10643,2_LASS5.91012,2_LDB2.9079,2_LOC100130932.100130932,2_LOC286467.286467,2_LRP2.4036,2_LRP5.4041,2_MARS.4141,2_MPP5.64398,2_MSC.9242,2_MYBPC2.4606,2_NAALADL2.254827,2_NACC1.112939,2_NBEA.26960,2_NCKAP5L.57701,2_NIPAL4.348938,2_OPCML.4978,2_OTX1.5013,2_PARD3B.117583,2_PDE7B.27115,2_PHLDB2.90102,2_PHYHIP.9796,2_PLAUR.5329,2_PLCL2.23228,2_POP7.10248,2_PSMD3.5709,2_RACGAP1.29127,2_RAD54L.8438,2_RHBDL2.54933,2_SH3D19.152503,2_SLC10A6.345274,2_SLC16A9.220963,2_SLC23A3.151295,2_SLC4A3.6508,2_SNF8.11267,2_SNRPA1.6627,2_SORBS2.8470,2_STON1.GTF2A1L.286749,2_SULT1B1.27284,2_TET2.54790,2_TEX19.400629,2_TIMP1.7076,2_TMC1.117531,2_TMEM63C.57156,2_TRABD.80305,2_TUBA1C.84790,2_USP5.8078,2_VPS13A.23230,2_ZFYVE9.9372,2_ZNF613.79898,2_ZNF746.155061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
