0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.18a.5p,1_hsa.miR.192.3p,1_hsa.miR.192.5p,1_hsa.miR.194.3p,1_hsa.miR.30e.3p,1_hsa.miR.34c.5p,1_hsa.miR.92b.3p,2_ABHD6.57406,2_AFG3L2.10939,2_AUP1.550,2_B3GNTL1.146712,2_BRD9.65980,2_BSPRY.54836,2_C17orf96.100170841,2_C7orf61.402573,2_CBX4.8535,2_CCL8.6355,2_CCNB2.9133,2_CDC45.8318,2_CKS2.1164,2_CNTNAP1.8506,2_CPT1A.1374,2_CRYL1.51084,2_CTAGE1.64693,2_DIABLO.56616,2_DNAJC2.27000,2_DONSON.29980,2_EIF4EBP1.1978,2_EN2.2020,2_FAM167A.83648,2_GIPC1.10755,2_GNB3.2784,2_GTPBP2.54676,2_HHIPL2.79802,2_HOXA2.3199,2_IGF2BP3.10643,2_IMPDH1.3614,2_IQGAP2.10788,2_IRF6.3664,2_KBTBD7.84078,2_KCND1.3750,2_KCNMA1.3778,2_KIF13B.23303,2_KIF4A.24137,2_KLF15.28999,2_KRT78.196374,2_LIMCH1.22998,2_LOC220429.220429,2_LRP5.4041,2_MC1R.4157,2_MIIP.60672,2_MRTO4.51154,2_MSTO1.55154,2_MYBL2.4605,2_MYO6.4646,2_NOP56.10528,2_NPLOC4.55666,2_NSUN5.55695,2_NUF2.83540,2_PCCA.5095,2_PIPSL.266971,2_PLXNB3.5365,2_PTGER1.5731,2_RALGAPA1.253959,2_RBM47.54502,2_RCC2.55920,2_RPS20.6224,2_RRP9.9136,2_SETD8.387893,2_SHC1.6464,2_SIX5.147912,2_SLC25A19.60386,2_SLC35C2.51006,2_SORL1.6653,2_SOS2.6655,2_SPHK1.8877,2_SRP19.6728,2_STEAP3.55240,2_STIL.6491,2_STON1.GTF2A1L.286749,2_STRADA.92335,2_TAGLN2.8407,2_TBCB.1155,2_TCTEX1D2.255758,2_TJP2.9414,2_TMEM125.128218,2_TRIM65.201292,2_TROAP.10024,2_UCK2.7371,2_YARS2.51067
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
