0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.18a.5p,1_hsa.miR.194.3p,1_hsa.miR.21.5p,1_hsa.miR.296.5p,1_hsa.miR.92b.3p,2_ACVR2A.92,2_AMOT.154796,2_AOX1.316,2_ARPC1B.10095,2_ARPC5.10092,2_BARX1.56033,2_BRD9.65980,2_C16orf57.79650,2_C1orf31.388753,2_CCNB1.891,2_CDC6.990,2_CDC7.8317,2_CNTNAP1.8506,2_COPG2.26958,2_COPS7A.50813,2_CXorf1.9142,2_DAP3.7818,2_DNAJC9.23234,2_DONSON.29980,2_DULLARD.23399,2_EREG.2069,2_FBXO21.23014,2_FRAS1.80144,2_FZD4.8322,2_GDF5.8200,2_GIMAP6.474344,2_GIPC2.54810,2_GTPBP2.54676,2_GTPBP4.23560,2_GYG2.8908,2_HBP1.26959,2_HTR3A.3359,2_IGDCC4.57722,2_IGFN1.91156,2_ILF2.3608,2_IMPA2.3613,2_ITPA.3704,2_KIAA1614.57710,2_KIDINS220.57498,2_LASS5.91012,2_LNX2.222484,2_LYRM4.57128,2_LZTS2.84445,2_METRNL.284207,2_MGAM.8972,2_MRPL9.65005,2_NPY6R.4888,2_OTX1.5013,2_PCCA.5095,2_PDK4.5166,2_PFDN2.5202,2_PIP5KL1.138429,2_PIPSL.266971,2_PITX1.5307,2_PNKD.25953,2_PPM1A.5494,2_PRC1.9055,2_PSMG3.84262,2_RAVER2.55225,2_RHBDL2.54933,2_RPL22L1.200916,2_RTN4R.65078,2_SAV1.60485,2_SEC61A2.55176,2_SF3B4.10262,2_SLC16A12.387700,2_SLC5A1.6523,2_SOS2.6655,2_SPOCD1.90853,2_SRP19.6728,2_SSFA2.6744,2_STEAP3.55240,2_STON1.GTF2A1L.286749,2_STRADA.92335,2_STX1A.6804,2_SUCLA2.8803,2_SYNJ2BP.55333,2_TDG.6996,2_TK1.7083,2_TMEM132A.54972,2_TRIM10.10107,2_TRIM27.5987,2_UBE2S.27338,2_UPK3B.80761,2_VPS25.84313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
