0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.10b.3p,1_hsa.miR.1248,1_hsa.miR.18a.5p,1_hsa.miR.21.5p,1_hsa.miR.425.3p,2_AGAP4.119016,2_ALDH6A1.4329,2_ARHGAP42.143872,2_ASAH1.427,2_BAIAP2L1.55971,2_BAK1.578,2_BARX1.56033,2_BREA2.286076,2_C11orf48.79081,2_C21orf125.284836,2_C6orf153.88745,2_C6orf186.728464,2_CAPRIN2.65981,2_CDC123.8872,2_CDRT15P.94158,2_COG4.25839,2_COQ3.51805,2_CYP3A7.1551,2_DAZAP1.26528,2_DRG2.1819,2_EPB41L4B.54566,2_EXOSC1.51013,2_FAM195B.348262,2_FOXA2.3170,2_FRK.2444,2_FUT6.2528,2_FZD4.8322,2_GNASAS.149775,2_HIST2H2AC.8338,2_HOXA3.3200,2_IFIH1.64135,2_IGFN1.91156,2_IL1RN.3557,2_IQGAP2.10788,2_KDR.3791,2_KIAA0564.23078,2_LGALS1.3956,2_LIMCH1.22998,2_LOC678655.678655,2_LOC80154.80154,2_LPP.4026,2_LYSMD3.116068,2_LZTS2.84445,2_METTL7A.25840,2_MLLT11.10962,2_MRPL12.6182,2_MRPL9.65005,2_MRPS26.64949,2_MRS2P2.729633,2_MTMR12.54545,2_MYCBP2.23077,2_MYEOV2.150678,2_NIPAL3.57185,2_NOP56.10528,2_NUP160.23279,2_ORC6L.23594,2_PFDN2.5202,2_PIPSL.266971,2_PKD2.5311,2_PLAUR.5329,2_PRKD1.5587,2_PSMC5.5705,2_RALGAPA1.253959,2_RAVER2.55225,2_RPS24.6229,2_RRP8.23378,2_RUVBL2.10856,2_SARS2.54938,2_SEMA3G.56920,2_SEPT10.151011,2_SERINC1.57515,2_SGMS1.259230,2_SH3GL3.6457,2_SIM2.6493,2_SLC25A35.399512,2_SNAPC2.6618,2_SOS1.6654,2_SPATA6.54558,2_STON1.GTF2A1L.286749,2_TAGLN2.8407,2_TRAIP.10293,2_TRIP11.9321,2_TRNP1.388610,2_UPK3B.80761,2_ZC3H12C.85463,2_ZNF385A.25946,2_ZNF598.90850
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
