0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.101.3p,1_hsa.miR.296.5p,1_hsa.miR.451a,1_hsa.miR.486.5p,1_hsa.miR.92b.3p,2_ABCB7.22,2_AMD1.262,2_AMOT.154796,2_ANKRD56.345079,2_B3GAT3.26229,2_BAK1.578,2_BARX1.56033,2_BCL2L12.83596,2_BOLA3.388962,2_C16orf59.80178,2_C1RL.51279,2_C21orf59.56683,2_CCNE1.898,2_CDC14B.8555,2_CDCA7.83879,2_CMA1.1215,2_COX6B2.125965,2_CST5.1473,2_DAP3.7818,2_DBF4.10926,2_DENND2C.163259,2_DUSP9.1852,2_EFCAB10.100130771,2_ELL3.80237,2_EN2.2020,2_FAM104A.84923,2_GAB1.2549,2_GDF5.8200,2_GPSM1.26086,2_HGS.9146,2_HOXA2.3199,2_HOXB13.10481,2_IGFN1.91156,2_IKBKE.9641,2_IMPDH1.3614,2_KCNAB1.7881,2_KCNJ3.3760,2_LBP.3929,2_LGALS3BP.3959,2_LOC100134713.100134713,2_LOC283050.283050,2_LOC678655.678655,2_LSM12.124801,2_LTBR.4055,2_MID1IP1.58526,2_MPG.4350,2_MTERFD1.51001,2_NAPSA.9476,2_NEIL3.55247,2_NOP2.4839,2_NUDT5.11164,2_NUMB.8650,2_ONECUT2.9480,2_PCDP1.200373,2_PDGFRL.5157,2_PHOSPHO2.493911,2_PLEKHF2.79666,2_PLEKHG4B.153478,2_PSMD13.5719,2_PUS1.80324,2_RTN4R.65078,2_RUNDC3B.154661,2_SAA2.6289,2_SCAMP4.113178,2_SEC24B.10427,2_SECISBP2L.9728,2_SIRT7.51547,2_SLC16A12.387700,2_SLC38A5.92745,2_SLCO2A1.6578,2_SLK.9748,2_SNX30.401548,2_SOX13.9580,2_SPON2.10417,2_STAT2.6773,2_SUCLA2.8803,2_TACC1.6867,2_TACC3.10460,2_TBC1D8B.54885,2_TLR9.54106,2_TMEM135.65084,2_TNFRSF1A.7132,2_TPD52L2.7165,2_TROAP.10024,2_TUBB2B.347733,2_UBE2Q1.55585,2_ULBP1.80329,2_VASN.114990,2_ZDHHC21.340481,2_ZNF189.7743,2_ZYG11B.79699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
