0_ADRB1,0_AMT,0_CA9,0_FBXO33,0_GLIS3,0_GTF2H1,0_HPCAL1,0_KCNS3,0_LGI4,0_LINGO2,0_OXA1L,0_PLCG2,0_SAP30,0_SLC2A9,0_SQSTM1,0_TCTN1,0_TUBG2
1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1
1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1
1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1
0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1
0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
