inner_cv_svm_bal_acc,inner_cv_root_leanness,train_svm_bal_acc,train_root_leanness
0.9665281654748763,0.21320071635561044,0.9769327815179153,0.21320071635561044
0.966098762115708,0.21821789023599236,0.9720428724296563,0.21821789023599236
0.9651274131867238,0.22360679774997896,0.9706249106621379,0.22360679774997896
0.9648803415904326,0.24253562503633297,0.9668854335134831,0.24253562503633297
0.964048505031045,0.25,0.9668854335134831,0.25
0.95775407152402,0.2581988897471611,0.9684266924153306,0.2581988897471611
0.9575887386095844,0.2672612419124244,0.9690393992402103,0.2672612419124244
0.9573700690050329,0.2773500981126146,0.9688635178359544,0.2773500981126146
0.9551383052282078,0.28867513459481287,0.9629226496366919,0.28867513459481287
0.9529625479019714,0.30151134457776363,0.9490519242224107,0.30151134457776363
0.952710899051902,0.31622776601683794,0.9546060562493364,0.31622776601683794
0.9489590720727513,0.3333333333333333,0.953874338161589,0.3333333333333333
0.9430679889860335,0.3535533905932738,0.9498198542441807,0.3535533905932738
0.9365987715411285,0.3779644730092272,0.9393958958887042,0.3779644730092272
0.9251853825398991,0.408248290463863,0.9247170231205301,0.408248290463863
0.9113462915249761,0.4472135954999579,0.9171720554359389,0.4472135954999579
0.8988144623644932,0.5,0.8966701212762672,0.5
0.8452563671437292,0.5773502691896257,0.8372965165516016,0.5773502691896257
0.6841779055350232,0.7071067811865476,0.6827144815448644,0.7071067811865476
0.20000000000000004,1.0,0.2,1.0
