gen,0_ADCYAP1,0_AIM1L,0_ANXA10,0_AP3M1,0_APOL5,0_AQP10,0_ASCL3,0_AURKAPS1,0_AVPR1B,0_B9D1,0_BMP2,0_BTG4,0_BTNL2,0_C11orf46,0_C11orf88,0_C19orf40,0_C1orf187,0_C1orf94,0_C20orf195,0_C2orf16,0_C6orf211,0_C9orf170,0_CACNA1A,0_CASP5,0_CCR9,0_CDC25B,0_CDH24,0_CFB,0_CILP,0_CXorf49B,0_CXorf61,0_CYP1A1,0_CYP2C9,0_CYP4F11,0_DAD1,0_DEPDC4,0_DIO1,0_DNALI1,0_EHD4,0_EHF,0_EPHA8,0_ERBB2,0_ESR1,0_FAM200A,0_FAM46D,0_FAM71C,0_FAM82B,0_FAM9C,0_FLJ40852,0_FOLH1,0_FOXC1,0_GBGT1,0_GDF5,0_GGT8P,0_GLI1,0_GLRA2,0_GLRA4,0_GLT25D2,0_GLYCAM1,0_GPR77,0_GPR89B,0_GRB7,0_GRXCR2,0_GSDMA,0_HEATR7B2,0_HHIPL2,0_HIST1H2BH,0_HMGB2,0_HORMAD1,0_HSPB3,0_IGF1R,0_IGFL1,0_JMJD6,0_JMY,0_KIAA1529,0_KIAA1967,0_KLHL1,0_KRT34,0_KRT78,0_LEUTX,0_LIPN,0_LOC100132724,0_LOC647288,0_LOC727896,0_LOC728743,0_LOC84740,0_LRFN2,0_LRRC55,0_LRRC8D,0_MAGEB3,0_MAPK15,0_MAPK7,0_MEMO1,0_METTL9,0_MMP10,0_MMP25,0_MRGPRX2,0_MRPS30,0_MT1DP,0_MTERFD2,0_MXD3,0_MYC,0_MYLIP,0_NAB2,0_NANOG,0_NANOS1,0_NAT1,0_NCRNA00164,0_NCRNA00189,0_NEFL,0_NPVF,0_NR2F1,0_NSMCE2,0_NUDT2,0_OLFM3,0_OLFM4,0_OPN1MW,0_OR10A6,0_OR13C2,0_OR2A25,0_OR2B11,0_OR2F2,0_OR2L1P,0_OR51I2,0_OR52I1,0_OR5P3,0_PADI1,0_PARP2,0_PAX8,0_PCCB,0_PCDHB18,0_PDCD10,0_PDZK1,0_PEX11B,0_PGAP3,0_PIGW,0_PMAIP1,0_PMS2L5,0_PNPT1,0_PPIL3,0_PPIL5,0_PPP1R1B,0_PRG3,0_PRUNE,0_PSG5,0_PSKH2,0_PTPRJ,0_PVT1,0_PXT1,0_RARA,0_RBMY1A1,0_RFPL1,0_RGS10,0_RHBDL2,0_RMRP,0_RNASE3,0_RNF8,0_RPL10L,0_SCNN1A,0_SEMA4F,0_SFT2D3,0_SHC4,0_SHD,0_SIGLEC1,0_SLC24A6,0_SLC2A7,0_SLC6A5,0_SLC9A11,0_SLPI,0_SMARCA1,0_SNHG3-RCC1,0_SPANXN5,0_SV2C,0_SYCP1,0_TCF19,0_TFCP2L1,0_TFF1,0_TMEM114,0_TMEM215,0_TMEM59L,0_TNNC1,0_TPSB2,0_TPSG1,0_TRIM10,0_TSPAN19,0_TULP1,0_UBE2W,0_UCA1,0_UGT2B28,0_WBP2NL,0_WBSCR26,0_WDR67,0_WNT8A,0_ZNF331,0_ZNF564,0_ZP2
0,1,1,1,0,1,1,1,1,2,1,0,3,1,2,1,2,2,1,1,0,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,2,1,3,1,1,0,0,1,0,1,1,0,2,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,4,1,1,2,1,1,1,3,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,0,0,1,2,2,1,2,1,1,1,1,1,0,0,2,1,1,2,1,1,1,2,1,1,1,0,2,1,5,1,0,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,0,0,5,3,1,1,1,4,0,2,0,0,2,1,0,2,1,2,1,1,1,0,0,1,1,1,2,0,1,2,2,2,2,1,2,1,3,1,0,1,0,0,1,1,1,1,2,1
19,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,4,0,0,4,7,7,4,0,7,0,0,5,10,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,5,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,3,3,0,6,2,0,0,3,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,7,4,0,8,0,0,0,1,0,5,3,0,0,0,0,3,0
